iter	Logloss
0	0.6838977595
1	0.6754808888
2	0.666430042
3	0.657620166
4	0.6491862498
5	0.6418409782
6	0.6350745987
7	0.6279972119
8	0.6212467416
9	0.6145633172
10	0.6092313386
11	0.603637157
12	0.5981636702
13	0.5933028674
14	0.589224128
15	0.5852631527
16	0.5808373413
17	0.5765578229
18	0.5724683777
19	0.5689042356
20	0.5658674899
21	0.5623938389
22	0.5596021907
23	0.5569774697
24	0.5538693119
25	0.5517230036
26	0.5493490022
27	0.5470697383
28	0.5451611711
29	0.5428726966
30	0.5407528239
31	0.5392627408
32	0.537728997
33	0.5358972844
34	0.5341647352
35	0.5329173573
36	0.5314245827
37	0.5300069881
38	0.5285969893
39	0.5273430323
40	0.5261093506
41	0.5247636465
42	0.52394809
43	0.5228374954
44	0.522107107
45	0.5211946599
46	0.5200536822
47	0.5191073233
48	0.5181192177
49	0.5171695692
50	0.5164830209
51	0.5155055015
52	0.5145935926
53	0.5136487887
54	0.5129044648
55	0.5120163001
56	0.5112853137
57	0.5107908123
58	0.5103513352
59	0.5097636513
60	0.5089413364
61	0.5084144783
62	0.5078607061
63	0.5072440746
64	0.5067220012
65	0.5061151784
66	0.5056746846
67	0.5052114035
68	0.5046316742
69	0.5042477598
70	0.5038371107
71	0.5035355534
72	0.5032161729
73	0.5028071387
74	0.5024533083
75	0.5020735805
76	0.5017088947
77	0.5015305739
78	0.5011906192
79	0.5007584986
80	0.5004987777
81	0.5000972795
82	0.4997142024
83	0.4993964667
84	0.4991834567
85	0.4988162589
86	0.4985083917
87	0.4982173907
88	0.4978690925
89	0.4975028218
90	0.4973000391
91	0.4970271902
92	0.4967317334
93	0.4962987755
94	0.495894825
95	0.4956900388
96	0.4953009808
97	0.4951128214
98	0.494940362
99	0.4946639544
100	0.4945402094
101	0.4942231615
102	0.4940655048
103	0.4937821892
104	0.493504406
105	0.493366277
106	0.4931312273
107	0.4927573608
108	0.492568723
109	0.4923952468
110	0.4920832528
111	0.4918448538
112	0.4916677592
113	0.4915219447
114	0.4912933245
115	0.4910530116
116	0.4908788775
117	0.4906212201
118	0.4905238509
119	0.4903215467
120	0.4901222928
121	0.4900121544
122	0.4897563211
123	0.489627911
124	0.4894238126
125	0.4892716284
126	0.4891149884
127	0.4890225834
128	0.4888368464
129	0.4885985371
130	0.4884778723
131	0.4881760757
132	0.4880667149
133	0.4879719773
134	0.4878299607
135	0.4876289125
136	0.4874791805
137	0.4873250226
138	0.4871217316
139	0.4868944571
140	0.4866245388
141	0.486561171
142	0.4865348251
143	0.4864479824
144	0.4862620958
145	0.4861778846
146	0.4860598813
147	0.4858308126
148	0.485733563
149	0.4856463913
150	0.4855951648
151	0.4854500082
152	0.485288434
153	0.4850891801
154	0.4848460562
155	0.4847459359
156	0.484612143
157	0.4845164784
158	0.4842898618
159	0.4841132456
160	0.4840204817
161	0.4838705404
162	0.4837402164
163	0.4836560053
164	0.4834216434
165	0.4833435926
166	0.4832807033
167	0.4831343206
168	0.4829672739
169	0.4828327633
170	0.4826500466
171	0.4825186162
172	0.4824247757
173	0.4822795892
174	0.4820938222
175	0.4819841324
176	0.481863019
177	0.4817233649
178	0.4816457925
179	0.4815354448
180	0.4814185778
181	0.4812608613
182	0.4811020982
183	0.4809553566
184	0.480867826
185	0.4806871727
186	0.4805891457
187	0.4804872908
188	0.4804027208
189	0.4803358243
190	0.4802518823
191	0.4801854942
192	0.4800807387
193	0.4799831003
194	0.479894882
195	0.4797715557
196	0.479661806
197	0.4795689524
198	0.4794175159
199	0.4793499615
200	0.4793159003
201	0.4792448471
202	0.4791415867
203	0.4790743912
204	0.4789550721
205	0.4788415246
206	0.4786497767
207	0.4784929275
208	0.4783897867
209	0.4783016581
210	0.478236197
211	0.4780147838
212	0.4778923547
213	0.4778523424
214	0.4778241723
215	0.4777473177
216	0.4777254874
217	0.477566156
218	0.4774503656
219	0.4773938461
220	0.4772898979
221	0.4772156749
222	0.4771328991
223	0.476981642
224	0.4768983279
225	0.4768170474
226	0.476589115
227	0.4764681213
228	0.4764151305
229	0.4763192565
230	0.4762374078
231	0.4760914438
232	0.4760801997
233	0.4759965268
234	0.4758562745
235	0.47570107
236	0.475615543
237	0.4754942801
238	0.4753993332
239	0.4753434416
240	0.4752713418
241	0.4752134466
242	0.4750818068
243	0.4749121883
244	0.4748593171
245	0.4747154165
246	0.474533866
247	0.4744704983
248	0.4744037215
249	0.4743395763
250	0.474250072
251	0.4742123325
252	0.4742108373
253	0.4741329958
254	0.4741136176
255	0.4740232461
256	0.4738997404
257	0.4738872104
258	0.4738325449
259	0.4737192366
260	0.4736518318
261	0.4734962684
262	0.4733850833
263	0.4732750346
264	0.4732734796
265	0.4732052375
266	0.4730052658
267	0.4729412701
268	0.4727911793
269	0.4727409995
270	0.4726767346
271	0.4725793355
272	0.472468599
273	0.4724086704
274	0.4722990702
275	0.472271588
276	0.4722012226
277	0.4721426695
278	0.4720551688
279	0.4720412333
280	0.4719576202
281	0.471864677
282	0.4718547486
283	0.4718109684
284	0.471746255
285	0.4716768765
286	0.4715170666
287	0.4713990035
288	0.4712830038
289	0.4712024111
290	0.4711244799
291	0.4710117996
292	0.4709286052
293	0.470845351
294	0.4708078806
295	0.4707215761
296	0.470591611
297	0.4704776747
298	0.4703961849
299	0.4702722904
300	0.4701291972
301	0.4700260863
302	0.4699307806
303	0.469776204
304	0.4696589483
305	0.4695634931
306	0.4694977928
307	0.4693997059
308	0.4692924982
309	0.469204519
310	0.4691422279
311	0.4691037407
312	0.4690464437
313	0.4688072074
314	0.4687198861
315	0.4685950945
316	0.4684403983
317	0.4682864199
318	0.4681810961
319	0.4681223038
320	0.4681182966
321	0.4680077096
322	0.4679321708
323	0.46786351
324	0.4677830369
325	0.4676598302
326	0.4675172753
327	0.467428698
328	0.4673931116
329	0.4672653894
330	0.467140837
331	0.4670002258
332	0.4668540525
333	0.4667895783
334	0.4666106894
335	0.4664647253
336	0.4663608968
337	0.4662701664
338	0.4661983058
339	0.4660887655
340	0.4659637646
341	0.4658956121
342	0.4656874766
343	0.4655545808
344	0.4654576901
345	0.4653772768
346	0.4652933348
347	0.4651204866
348	0.4650378902
349	0.4649453656
350	0.4649041572
351	0.4647653104
352	0.4645882457
353	0.4644794829
354	0.4643189254
355	0.4641518787
356	0.4640537918
357	0.4639828881
358	0.463870148
359	0.463724184
360	0.4636206545
361	0.4633912867
362	0.463290658
363	0.4631740004
364	0.4630675701
365	0.462895021
366	0.4628054569
367	0.4626937036
368	0.4625745939
369	0.4624222602
370	0.4623309616
371	0.4622907101
372	0.462181409
373	0.4620948653
374	0.4619631059
375	0.4619043136
376	0.4618000365
377	0.4616959388
378	0.4616506035
379	0.4615808662
380	0.4614805065
381	0.4614253925
382	0.461130474
383	0.4609922851
384	0.4608148914
385	0.4607262843
386	0.4606704525
387	0.4605272696
388	0.4604624665
389	0.4603071423
390	0.4601726317
391	0.4600547779
392	0.4599196692
393	0.4598388672
394	0.4597240338
395	0.4596783995
396	0.4595574057
397	0.4593904786
398	0.4592799514
399	0.4591312362
400	0.4589597337
401	0.4588682258
402	0.458752256
403	0.4586456164
404	0.4585491145
405	0.4584270442
406	0.4582589807
407	0.458163974
408	0.4580459109
409	0.4579124469
410	0.4577493177
411	0.4575698905
412	0.4574787415
413	0.4574108582
414	0.4573110368
415	0.457196652
416	0.4570698269
417	0.4569086115
418	0.4566111212
419	0.4565333395
420	0.4564353722
421	0.4563192529
422	0.4561053159
423	0.4560429051
424	0.4557632977
425	0.4556646426
426	0.4555821659
427	0.4554780084
428	0.4553408363
429	0.4551524677
430	0.4550550985
431	0.4549303667
432	0.4547517469
433	0.4546474698
434	0.4545743233
435	0.4544790774
436	0.4543614329
437	0.4542463304
438	0.4541474062
439	0.4540474054
440	0.4540041933
441	0.4538747665
442	0.4537313145
443	0.453665674
444	0.4535551468
445	0.4534654631
446	0.4533354681
447	0.4532344805
448	0.4531666869
449	0.4530768238
450	0.4529337904
451	0.4528539154
452	0.4527968874
453	0.4526888723
454	0.4525972747
455	0.4524266992
456	0.4523765493
457	0.4522573797
458	0.4521509196
459	0.4520218217
460	0.4519161989
461	0.4518036681
462	0.4516252278
463	0.4515027089
464	0.4514181987
465	0.4512478325
466	0.4511581488
467	0.4509102402
468	0.4508211845
469	0.4507873326
470	0.4506064999
471	0.4505236045
472	0.4503696559
473	0.4503111029
474	0.4501983628
475	0.4500691154
476	0.4499465965
477	0.4498446519
478	0.4497361583
479	0.4496411815
480	0.4494678548
481	0.4493603779
482	0.4492965616
483	0.4491802629
484	0.44912479
485	0.4490288562
486	0.4489334607
487	0.4488489505
488	0.4488134538
489	0.4486966168
490	0.4485789126
491	0.448510491
492	0.4484135405
493	0.448339437
494	0.4483067514
495	0.4481967924
496	0.4480967019
497	0.4479715216
498	0.4478239128
499	0.4477449947
500	0.4476239411
501	0.4473606018
502	0.4472701107
503	0.446991221
504	0.4468868542
505	0.4467599393
506	0.4467091016
507	0.446607486
508	0.4464538664
509	0.4463827235
510	0.4462686078
511	0.4462358922
512	0.4461406463
513	0.4460322424
514	0.4459404653
515	0.445927098
516	0.4458214154
517	0.4457433645
518	0.4456376221
519	0.445540552
520	0.4454913291
521	0.4453824168
522	0.4452967403
523	0.4451937491
524	0.4450922232
525	0.445041236
526	0.4448698232
527	0.4447708093
528	0.4446547198
529	0.4444849817
530	0.4443694904
531	0.4442482275
532	0.4441472997
533	0.4440890457
534	0.4439870413
535	0.4438734639
536	0.4437403887
537	0.4436153578
538	0.4434566245
539	0.4433375447
540	0.4432454387
541	0.4431999838
542	0.4431170286
543	0.4430753417
544	0.4429946294
545	0.4428744431
546	0.4428230372
547	0.4427556921
548	0.4426339508
549	0.4425721082
550	0.4423650492
551	0.4422863106
552	0.4421820634
553	0.4421116382
554	0.4420008718
555	0.4418621147
556	0.4417578675
557	0.4416455162
558	0.4415778422
559	0.4414798152
560	0.4413731756
561	0.441232714
562	0.4411287957
563	0.4410373477
564	0.440927927
565	0.4408104919
566	0.440740276
567	0.4406144676
568	0.4404916497
569	0.4403958954
570	0.4402688011
571	0.440198346
572	0.4400867423
573	0.4400091101
574	0.4399034574
575	0.4397715485
576	0.4396697535
577	0.4395385324
578	0.4394824913
579	0.4394247755
580	0.4393300977
581	0.439199714
582	0.4390406517
583	0.4389344607
584	0.4388296154
585	0.4387079638
586	0.4386128674
587	0.4384896607
588	0.4384091577
589	0.4382827512
590	0.4382305678
591	0.4381594249
592	0.4380999747
593	0.4380952199
594	0.4380026354
595	0.437915673
596	0.4377888778
597	0.4377210543
598	0.4375721297
599	0.4374246107
600	0.4373095679
601	0.4372290649
602	0.4371466779
603	0.4370961692
604	0.4370529571
605	0.4369818142
606	0.4368908446
607	0.436783607
608	0.4367028647
609	0.4366196703
610	0.4365161707
611	0.4364581858
612	0.4364125515
613	0.4363100088
614	0.4362134471
615	0.4361039666
616	0.4360400606
617	0.4359621294
618	0.4358843178
619	0.4358420926
620	0.4357649987
621	0.4356774083
622	0.4355754637
623	0.4355022574
624	0.4353982495
625	0.4352728597
626	0.4351576974
627	0.4350496822
628	0.4349521934
629	0.4348430419
630	0.4346103846
631	0.4345436975
632	0.4344613404
633	0.4343261121
634	0.4342175885
635	0.4341343343
636	0.4340728805
637	0.4340148657
638	0.433924853
639	0.4338366944
640	0.4337521842
641	0.4335854365
642	0.4334816678
643	0.4333915355
644	0.4332989511
645	0.4332829223
646	0.4332336396
647	0.4331500265
648	0.4330321428
649	0.4329358801
650	0.4328524166
651	0.432802775
652	0.4327024752
653	0.4326044482
654	0.4325185623
655	0.4324174252
656	0.4323533099
657	0.4322617721
658	0.4321431707
659	0.4320087498
660	0.4319367098
661	0.4318341971
662	0.4317322824
663	0.4316065637
664	0.4315526758
665	0.4314524657
666	0.4313897559
667	0.4312803352
668	0.4312458552
669	0.4312065906
670	0.431147559
671	0.4310716613
672	0.4309917863
673	0.430870344
674	0.4305963287
675	0.4304317641
676	0.4303326604
677	0.4302462064
678	0.4301780241
679	0.4301264687
680	0.4300292191
681	0.4299927954
682	0.429920875
683	0.4298455455
684	0.4297269142
685	0.4296813696
686	0.4295623495
687	0.4295156087
688	0.4294292743
689	0.4293916544
690	0.4292610015
691	0.4291740391
692	0.4290755934
693	0.4290147377
694	0.4289149163
695	0.4288327985
696	0.4287287307
697	0.4286690113
698	0.4286118937
699	0.4285612354
700	0.4284560312
701	0.4283919757
702	0.4282801328
703	0.4281638041
704	0.4280742101
705	0.4280236117
706	0.4279535752
707	0.4278694239
708	0.4277735499
709	0.4276883818
710	0.4275929265
711	0.4275055754
